"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728659337835","170.54655820658388","1754454311274"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872865750981","170.54655813706302","1754454311494"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728659120395","170.5465580670409","1754454311712"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872868037273","170.54655801980275","1754454311884"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728695323954","170.54655799827108","1754454312101"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872870513188","170.54655800762117","1754454312314"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872871039323","170.54655799551153","1754454312484"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872871890921","170.54655796518642","1754454312703"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872875411838","170.5465579182689","1754454312925"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872880472288","170.54655786304258","1754454313094"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872884453498","170.54655782394286","1754454313314"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728881838275","170.5465577984712","1754454313473"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872893401501","170.54655778434153","1754454313699"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728981763775","170.54655777136696","1754454313924"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872904236294","170.54655774958283","1754454314096"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872908965339","170.54655776032402","1754454314313"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872913258157","170.5465577741204","1754454314472"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872918808964","170.5465577900018","1754454314699"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872923710385","170.54655780706517","1754454314923"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872929740305","170.546557831321","1754454315084"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872934305768","170.54655787820664","1754454315304"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872938337802","170.54655792001944","1754454315527"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729436029","170.5465579561566","1754454315704"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729475534034","170.5465579865624","1754454315912"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729511001","170.5465580124123","1754454316075"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729566474274","170.54655802677993","1754454316296"
